Live,#genre#
??朝?????１,rtmp://45.88.148.114/channel/613230b1c6f62a25d2da2208
靖天電影,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d58
?????????,rtmp://45.88.148.114/channel/613230ebc6f62a25d2da220a
東森電影,rtmp://104.149.131.118/channel/60b4e50239e1b02e8b910d8a
ＴＢＳ?????１,rtmp://45.88.148.114/channel/61323121c6f62a25d2da220c
龍祥時代電影,rtmp://45.88.148.122/channel/60c2474a961593122ebaf7b5
銀河,rtmp://45.88.148.114/channel/613231dac6f62a25d2da220e
?????ＮＥＸＴ,rtmp://45.88.148.114/channel/6132323ec6f62a25d2da2210
天映?影,rtmp://45.88.148.178/channel/61002e1ff0618408855f3711
?????ＯＮＥ ??????????,rtmp://45.88.148.114/channel/61323275c6f62a25d2da2212
?????ＴＷＯ ???????,rtmp://45.88.148.114/channel/613232c2c6f62a25d2da2214
J SPORTS 1,rtmp://45.88.148.114/channel/613232fec6f62a25d2da2216
J SPORTS 2,rtmp://45.88.148.114/channel/61323335c6f62a25d2da2218
J SPORTS 3,rtmp://45.88.148.114/channel/61323377c6f62a25d2da221a
FOX MOVIES優質電影,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910ca8
J SPORTS 4,rtmp://45.88.148.114/channel/613233a8c6f62a25d2da221c
CINEMAX HD,rtmp://104.149.141.122/channel/60b4e50239e1b02e8b910cac
HBO家庭,rtmp://45.88.148.122/channel/60b4e50239e1b02e8b910caa
HBO HIT,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910cce
BBC Earth,rtmp://45.88.148.114/channel/60b4e50239e1b02e8b910d3e
HBO signature,rtmp://104.149.130.142/channel/60b4e50239e1b02e8b910ccc
影迷數位電影,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910ce8
影迷數位紀實台,rtmp://45.88.148.122/channel/60b4e50239e1b02e8b910cea
Boomerang,rtmp://104.149.138.98/channel/6161652a295d84395bad66f5
CinemaWorld,rtmp://61.216.43.210/channel/60b4e50239e1b02e8b910cf0
BLUE ANT Extreme,rtmp://45.88.148.114/channel/60b4e50239e1b02e8b910cf2
tvN,rtmp://104.149.131.118/channel/60b4e50239e1b02e8b910d1c
Star Movies,rtmp://45.88.148.114/channel/60b4e50239e1b02e8b910d20
韓國娛樂KMTV,rtmp://45.88.148.114/channel/60c2d183961593122ebaf8ae
CatchPlay電影台,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910d2a
阿里郎,rtmp://45.88.148.122/channel/61002c00f0618408855f370a
Outdoor Channel,rtmp://104.149.138.98/channel/616166cd295d84395bad6953
TV5 Monde,rtmp://104.149.138.98/channel/61616807295d84395bad6b8f
龍華洋片,rtmp://104.149.131.118/channel/60b4e50239e1b02e8b910d40
France 24,rtmp://104.149.138.98/channel/61617574295d84395bad896d
華納電影,rtmp://45.88.148.122/channel/60b4e50239e1b02e8b910d68
Da Vinci Learning,rtmp://104.149.138.98/channel/616175a0295d84395bad89cd
Asian Food Network,rtmp://104.149.138.98/channel/616175d9295d84395bad8a56
福斯家庭,rtmp://45.88.148.122/channel/60c2f660961593122ebaf8d8
KIX,rtmp://104.149.138.98/channel/61617616295d84395bad8ae1
福斯動作,rtmp://45.92.126.226/channel/60c2f6ca961593122ebaf8dc
Blue Ant Extreme,rtmp://104.149.138.98/channel/6161763a295d84395bad8b4d
